gstID,startTime_GST,CME_ActivityID,cmeID,startTime_CME,GST_ActivityID,timeDiff
2013-06-07T03:00:00-GST-001,2013-06-07 03:00:00+00:00,2013-06-02T20:24:00-CME-001,2013-06-02T20:24:00-CME-001,2013-06-02 20:24:00+00:00,2013-06-07T03:00:00-GST-001,4 days 06:36:00
2013-10-02T03:00:00-GST-001,2013-10-02 03:00:00+00:00,2013-09-29T22:40:00-CME-001,2013-09-29T22:40:00-CME-001,2013-09-29 22:40:00+00:00,2013-10-02T03:00:00-GST-001,2 days 04:20:00
2013-12-08T00:00:00-GST-001,2013-12-08 00:00:00+00:00,2013-12-04T23:12:00-CME-001,2013-12-04T23:12:00-CME-001,2013-12-04 23:12:00+00:00,2013-12-08T00:00:00-GST-001,3 days 00:48:00
2014-02-19T03:00:00-GST-001,2014-02-19 03:00:00+00:00,2014-02-16T14:15:00-CME-001,2014-02-16T14:15:00-CME-001,2014-02-16 14:15:00+00:00,2014-02-19T03:00:00-GST-001,2 days 12:45:00
2014-02-20T03:00:00-GST-001,2014-02-20 03:00:00+00:00,2014-02-18T01:25:00-CME-001,2014-02-18T01:25:00-CME-001,2014-02-18 01:25:00+00:00,2014-02-20T03:00:00-GST-001,2 days 01:35:00
2014-02-27T18:00:00-GST-001,2014-02-27 18:00:00+00:00,2014-02-25T01:25:00-CME-001,2014-02-25T01:25:00-CME-001,2014-02-25 01:25:00+00:00,2014-02-27T18:00:00-GST-001,2 days 16:35:00
2014-06-08T03:00:00-GST-001,2014-06-08 03:00:00+00:00,2014-06-04T13:25:00-CME-001,2014-06-04T13:25:00-CME-001,2014-06-04 13:25:00+00:00,2014-06-08T03:00:00-GST-001,3 days 13:35:00
2014-08-19T21:00:00-GST-001,2014-08-19 21:00:00+00:00,2014-08-15T21:12:00-CME-001,2014-08-15T21:12:00-CME-001,2014-08-15 21:12:00+00:00,2014-08-19T21:00:00-GST-001,3 days 23:48:00
2014-09-12T15:00:00-GST-001,2014-09-12 15:00:00+00:00,2014-09-10T18:18:00-CME-001,2014-09-10T18:18:00-CME-001,2014-09-10 18:18:00+00:00,2014-09-12T15:00:00-GST-001,1 days 20:42:00
2015-03-17T06:00:00-GST-001,2015-03-17 06:00:00+00:00,2015-03-15T02:00:00-CME-001,2015-03-15T02:00:00-CME-001,2015-03-15 02:00:00+00:00,2015-03-17T06:00:00-GST-001,2 days 04:00:00
2015-06-22T18:00:00-GST-001,2015-06-22 18:00:00+00:00,2015-06-21T02:48:00-CME-001,2015-06-21T02:48:00-CME-001,2015-06-21 02:48:00+00:00,2015-06-22T18:00:00-GST-001,1 days 15:12:00
2015-06-25T06:00:00-GST-001,2015-06-25 06:00:00+00:00,2015-06-22T18:36:00-CME-001,2015-06-22T18:36:00-CME-001,2015-06-22 18:36:00+00:00,2015-06-25T06:00:00-GST-001,2 days 11:24:00
2015-08-15T09:00:00-GST-001,2015-08-15 09:00:00+00:00,2015-08-12T15:12:00-CME-001,2015-08-12T15:12:00-CME-001,2015-08-12 15:12:00+00:00,2015-08-15T09:00:00-GST-001,2 days 17:48:00
2015-08-15T09:00:00-GST-001,2015-08-15 09:00:00+00:00,2015-08-13T00:30:00-CME-001,2015-08-13T00:30:00-CME-001,2015-08-13 00:30:00+00:00,2015-08-15T09:00:00-GST-001,2 days 08:30:00
2015-09-09T03:00:00-GST-001,2015-09-09 03:00:00+00:00,2015-09-04T14:12:00-CME-001,2015-09-04T14:12:00-CME-001,2015-09-04 14:12:00+00:00,2015-09-09T03:00:00-GST-001,4 days 12:48:00
2015-09-09T03:00:00-GST-001,2015-09-09 03:00:00+00:00,2015-09-04T19:24:00-CME-001,2015-09-04T19:24:00-CME-001,2015-09-04 19:24:00+00:00,2015-09-09T03:00:00-GST-001,4 days 07:36:00
2015-09-11T06:00:00-GST-001,2015-09-11 06:00:00+00:00,2015-09-06T23:30:00-CME-001,2015-09-06T23:30:00-CME-001,2015-09-06 23:30:00+00:00,2015-09-11T06:00:00-GST-001,4 days 06:30:00
2015-09-11T06:00:00-GST-001,2015-09-11 06:00:00+00:00,2015-09-07T10:36:00-CME-001,2015-09-07T10:36:00-CME-001,2015-09-07 10:36:00+00:00,2015-09-11T06:00:00-GST-001,3 days 19:24:00
2015-09-20T06:00:00-GST-001,2015-09-20 06:00:00+00:00,2015-09-18T05:00:00-CME-001,2015-09-18T05:00:00-CME-001,2015-09-18 05:00:00+00:00,2015-09-20T06:00:00-GST-001,2 days 01:00:00
2015-09-20T06:00:00-GST-001,2015-09-20 06:00:00+00:00,2015-09-18T05:00:00-CME-001,2015-09-18T05:00:00-CME-001,2015-09-18 05:00:00+00:00,2015-09-20T09:00:00-GST-001,2 days 01:00:00
2015-09-20T09:00:00-GST-001,2015-09-20 09:00:00+00:00,2015-09-18T05:00:00-CME-001,2015-09-18T05:00:00-CME-001,2015-09-18 05:00:00+00:00,2015-09-20T06:00:00-GST-001,2 days 04:00:00
2015-09-20T09:00:00-GST-001,2015-09-20 09:00:00+00:00,2015-09-18T05:00:00-CME-001,2015-09-18T05:00:00-CME-001,2015-09-18 05:00:00+00:00,2015-09-20T09:00:00-GST-001,2 days 04:00:00
2015-11-07T03:00:00-GST-001,2015-11-07 03:00:00+00:00,2015-11-04T14:24:00-CME-001,2015-11-04T14:24:00-CME-001,2015-11-04 14:24:00+00:00,2015-11-07T03:00:00-GST-001,2 days 12:36:00
2015-12-20T03:00:00-GST-001,2015-12-20 03:00:00+00:00,2015-12-16T09:36:00-CME-001,2015-12-16T09:36:00-CME-001,2015-12-16 09:36:00+00:00,2015-12-20T03:00:00-GST-001,3 days 17:24:00
2015-12-20T03:00:00-GST-001,2015-12-20 03:00:00+00:00,2015-12-16T14:48:00-CME-001,2015-12-16T14:48:00-CME-001,2015-12-16 14:48:00+00:00,2015-12-20T03:00:00-GST-001,3 days 12:12:00
2015-12-31T13:30:00-GST-001,2015-12-31 13:30:00+00:00,2015-12-28T12:39:00-CME-001,2015-12-28T12:39:00-CME-001,2015-12-28 12:39:00+00:00,2015-12-31T13:30:00-GST-001,3 days 00:51:00
2016-01-21T03:00:00-GST-001,2016-01-21 03:00:00+00:00,2016-01-15T00:00:00-CME-001,2016-01-15T00:00:00-CME-001,2016-01-15 00:00:00+00:00,2016-01-21T03:00:00-GST-001,6 days 03:00:00
2016-04-02T22:30:00-GST-001,2016-04-02 22:30:00+00:00,2016-03-31T01:25:00-CME-001,2016-03-31T01:25:00-CME-001,2016-03-31 01:25:00+00:00,2016-04-02T22:30:00-GST-001,2 days 21:05:00
2016-10-13T15:00:00-GST-001,2016-10-13 15:00:00+00:00,2016-10-08T21:09:00-CME-001,2016-10-08T21:09:00-CME-001,2016-10-08 21:09:00+00:00,2016-10-13T15:00:00-GST-001,4 days 17:51:00
2017-07-16T12:00:00-GST-001,2017-07-16 12:00:00+00:00,2017-07-14T01:36:00-CME-001,2017-07-14T01:36:00-CME-001,2017-07-14 01:36:00+00:00,2017-07-16T12:00:00-GST-001,2 days 10:24:00
2017-09-07T21:00:00-GST-001,2017-09-07 21:00:00+00:00,2017-09-06T12:24:00-CME-001,2017-09-06T12:24:00-CME-001,2017-09-06 12:24:00+00:00,2017-09-07T21:00:00-GST-001,1 days 08:36:00
2017-09-07T21:00:00-GST-001,2017-09-07 21:00:00+00:00,2017-09-06T12:24:00-CME-001,2017-09-06T12:24:00-CME-001,2017-09-06 12:24:00+00:00,2017-09-08T12:00:00-GST-001,1 days 08:36:00
2017-09-08T12:00:00-GST-001,2017-09-08 12:00:00+00:00,2017-09-06T12:24:00-CME-001,2017-09-06T12:24:00-CME-001,2017-09-06 12:24:00+00:00,2017-09-07T21:00:00-GST-001,1 days 23:36:00
2017-09-08T12:00:00-GST-001,2017-09-08 12:00:00+00:00,2017-09-06T12:24:00-CME-001,2017-09-06T12:24:00-CME-001,2017-09-06 12:24:00+00:00,2017-09-08T12:00:00-GST-001,1 days 23:36:00
2018-08-26T00:00:00-GST-001,2018-08-26 00:00:00+00:00,2018-08-20T21:24:00-CME-001,2018-08-20T21:24:00-CME-001,2018-08-20 21:24:00+00:00,2018-08-26T00:00:00-GST-001,5 days 02:36:00
2021-05-12T12:00:00-GST-001,2021-05-12 12:00:00+00:00,2021-05-09T11:23:00-CME-001,2021-05-09T11:23:00-CME-001,2021-05-09 11:23:00+00:00,2021-05-12T12:00:00-GST-001,3 days 00:37:00
2021-10-12T03:00:00-GST-001,2021-10-12 03:00:00+00:00,2021-10-09T07:09:00-CME-001,2021-10-09T07:09:00-CME-001,2021-10-09 07:09:00+00:00,2021-10-12T03:00:00-GST-001,2 days 19:51:00
2021-11-03T21:00:00-GST-001,2021-11-03 21:00:00+00:00,2021-11-01T18:38:00-CME-001,2021-11-01T18:38:00-CME-001,2021-11-01 18:38:00+00:00,2021-11-03T21:00:00-GST-001,2 days 02:22:00
2021-11-03T21:00:00-GST-001,2021-11-03 21:00:00+00:00,2021-11-01T21:36:00-CME-001,2021-11-01T21:36:00-CME-001,2021-11-01 21:36:00+00:00,2021-11-03T21:00:00-GST-001,1 days 23:24:00
2021-11-03T21:00:00-GST-001,2021-11-03 21:00:00+00:00,2021-11-02T02:48:00-CME-001,2021-11-02T02:48:00-CME-001,2021-11-02 02:48:00+00:00,2021-11-03T21:00:00-GST-001,1 days 18:12:00
2022-01-19T00:00:00-GST-001,2022-01-19 00:00:00+00:00,2022-01-15T16:12:00-CME-001,2022-01-15T16:12:00-CME-001,2022-01-15 16:12:00+00:00,2022-01-19T00:00:00-GST-001,3 days 07:48:00
2022-01-19T00:00:00-GST-001,2022-01-19 00:00:00+00:00,2022-01-16T20:48:00-CME-001,2022-01-16T20:48:00-CME-001,2022-01-16 20:48:00+00:00,2022-01-19T00:00:00-GST-001,2 days 03:12:00
2022-02-03T06:00:00-GST-001,2022-02-03 06:00:00+00:00,2022-01-29T23:36:00-CME-001,2022-01-29T23:36:00-CME-001,2022-01-29 23:36:00+00:00,2022-02-03T06:00:00-GST-001,4 days 06:24:00
2022-03-13T12:00:00-GST-001,2022-03-13 12:00:00+00:00,2022-03-10T19:23:00-CME-001,2022-03-10T19:23:00-CME-001,2022-03-10 19:23:00+00:00,2022-03-13T12:00:00-GST-001,2 days 16:37:00
2022-04-10T03:00:00-GST-001,2022-04-10 03:00:00+00:00,2022-04-07T05:36:00-CME-001,2022-04-07T05:36:00-CME-001,2022-04-07 05:36:00+00:00,2022-04-10T03:00:00-GST-001,2 days 21:24:00
2022-04-14T15:00:00-GST-001,2022-04-14 15:00:00+00:00,2022-04-11T06:00:00-CME-001,2022-04-11T06:00:00-CME-001,2022-04-11 06:00:00+00:00,2022-04-14T15:00:00-GST-001,3 days 09:00:00
2022-08-17T18:00:00-GST-001,2022-08-17 18:00:00+00:00,2022-08-13T18:48:00-CME-001,2022-08-13T18:48:00-CME-001,2022-08-13 18:48:00+00:00,2022-08-17T18:00:00-GST-001,3 days 23:12:00
2022-08-17T18:00:00-GST-001,2022-08-17 18:00:00+00:00,2022-08-14T12:48:00-CME-001,2022-08-14T12:48:00-CME-001,2022-08-14 12:48:00+00:00,2022-08-17T18:00:00-GST-001,3 days 05:12:00
2023-02-27T03:00:00-GST-001,2023-02-27 03:00:00+00:00,2023-02-24T20:36:00-CME-001,2023-02-24T20:36:00-CME-001,2023-02-24 20:36:00+00:00,2023-02-27T03:00:00-GST-001,2 days 06:24:00
2023-03-23T12:00:00-GST-001,2023-03-23 12:00:00+00:00,2023-03-20T02:41:00-CME-001,2023-03-20T02:41:00-CME-001,2023-03-20 02:41:00+00:00,2023-03-23T12:00:00-GST-001,3 days 09:19:00
2023-03-23T12:00:00-GST-001,2023-03-23 12:00:00+00:00,2023-03-20T14:42:00-CME-001,2023-03-20T14:42:00-CME-001,2023-03-20 14:42:00+00:00,2023-03-23T12:00:00-GST-001,2 days 21:18:00
2023-04-23T18:00:00-GST-001,2023-04-23 18:00:00+00:00,2023-04-21T18:12:00-CME-001,2023-04-21T18:12:00-CME-001,2023-04-21 18:12:00+00:00,2023-04-23T18:00:00-GST-001,1 days 23:48:00
2023-08-05T03:00:00-GST-001,2023-08-05 03:00:00+00:00,2023-08-02T09:12:00-CME-001,2023-08-02T09:12:00-CME-001,2023-08-02 09:12:00+00:00,2023-08-05T03:00:00-GST-001,2 days 17:48:00
2023-09-19T00:00:00-GST-001,2023-09-19 00:00:00+00:00,2023-09-14T23:12:00-CME-001,2023-09-14T23:12:00-CME-001,2023-09-14 23:12:00+00:00,2023-09-19T00:00:00-GST-001,4 days 00:48:00
2023-09-19T00:00:00-GST-001,2023-09-19 00:00:00+00:00,2023-09-16T09:12:00-CME-001,2023-09-16T09:12:00-CME-001,2023-09-16 09:12:00+00:00,2023-09-19T00:00:00-GST-001,2 days 14:48:00
2023-11-05T09:00:00-GST-001,2023-11-05 09:00:00+00:00,2023-11-02T03:36:00-CME-001,2023-11-02T03:36:00-CME-001,2023-11-02 03:36:00+00:00,2023-11-05T09:00:00-GST-001,3 days 05:24:00
2023-11-05T09:00:00-GST-001,2023-11-05 09:00:00+00:00,2023-11-03T05:48:00-CME-001,2023-11-03T05:48:00-CME-001,2023-11-03 05:48:00+00:00,2023-11-05T09:00:00-GST-001,2 days 03:12:00
2023-11-25T18:00:00-GST-001,2023-11-25 18:00:00+00:00,2023-11-22T21:36:00-CME-001,2023-11-22T21:36:00-CME-001,2023-11-22 21:36:00+00:00,2023-11-25T18:00:00-GST-001,2 days 20:24:00
2023-12-01T09:00:00-GST-001,2023-12-01 09:00:00+00:00,2023-11-28T20:24:00-CME-001,2023-11-28T20:24:00-CME-001,2023-11-28 20:24:00+00:00,2023-12-01T09:00:00-GST-001,2 days 12:36:00
2023-12-01T09:00:00-GST-001,2023-12-01 09:00:00+00:00,2023-11-28T20:48:00-CME-001,2023-11-28T20:48:00-CME-001,2023-11-28 20:48:00+00:00,2023-12-01T09:00:00-GST-001,2 days 12:12:00
2023-12-18T06:00:00-GST-001,2023-12-18 06:00:00+00:00,2023-12-14T17:38:00-CME-001,2023-12-14T17:38:00-CME-001,2023-12-14 17:38:00+00:00,2023-12-18T06:00:00-GST-001,3 days 12:22:00
2024-03-03T18:00:00-GST-001,2024-03-03 18:00:00+00:00,2024-02-28T17:48:00-CME-001,2024-02-28T17:48:00-CME-001,2024-02-28 17:48:00+00:00,2024-03-03T18:00:00-GST-001,4 days 00:12:00
2024-03-24T12:00:00-GST-001,2024-03-24 12:00:00+00:00,2024-03-23T01:25:00-CME-001,2024-03-23T01:25:00-CME-001,2024-03-23 01:25:00+00:00,2024-03-24T12:00:00-GST-001,1 days 10:35:00
2024-03-24T12:00:00-GST-001,2024-03-24 12:00:00+00:00,2024-03-23T01:48:00-CME-001,2024-03-23T01:48:00-CME-001,2024-03-23 01:48:00+00:00,2024-03-24T12:00:00-GST-001,1 days 10:12:00
2024-04-19T18:00:00-GST-001,2024-04-19 18:00:00+00:00,2024-04-15T06:48:00-CME-001,2024-04-15T06:48:00-CME-001,2024-04-15 06:48:00+00:00,2024-04-19T18:00:00-GST-001,4 days 11:12:00
